OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
49.64,49.92,47.46,48.83,214111800,0.0,0,QQQ,2011-08-05,48.0,2482.8000000000006,2382.7200000000003
47.34,48.19,45.89,45.89,204804500,0.0,0,QQQ,2011-08-08,50.0,2577.4800000000005,2367.0
46.58,48.15,45.29,48.11,193707100,0.0,0,QQQ,2011-08-09,50.0,2577.4800000000005,2329.0
47.02,48.12,46.08,46.14,205917900,0.0,0,QQQ,2011-08-10,50.0,2577.4800000000005,2351.0
46.8,48.71,46.57,48.17,143825300,0.0,0,QQQ,2011-08-11,50.0,2577.4800000000005,2340.0
48.47,48.9,47.97,48.6,90483300,0.0,0,QQQ,2011-08-12,50.0,2577.4800000000005,2423.5
48.8,49.31,48.56,49.31,73554300,0.0,0,QQQ,2011-08-15,52.0,2675.0800000000004,2537.6
48.83,49.3,48.24,48.9,89219200,0.0,0,QQQ,2011-08-16,52.0,2675.0800000000004,2539.16
48.96,49.37,48.1,48.61,84416600,0.0,0,QQQ,2011-08-17,52.0,2675.0800000000004,2545.92
47.29,47.3,45.79,46.22,130019400,0.0,0,QQQ,2011-08-18,52.0,2675.0800000000004,2459.08
45.74,46.87,45.35,45.39,96674600,0.0,0,QQQ,2011-08-19,52.0,2675.0800000000004,2378.48
46.47,46.48,45.41,45.55,77107700,0.0,0,QQQ,2011-08-22,54.0,2768.0200000000004,2509.38
45.86,47.43,45.67,47.43,75688400,0.0,0,QQQ,2011-08-23,54.0,2768.0200000000004,2476.44
47.29,47.89,46.91,47.8,80197700,0.0,0,QQQ,2011-08-24,54.0,2768.0200000000004,2553.66
47.77,47.99,46.85,47.02,93623700,0.0,0,QQQ,2011-08-25,54.0,2768.0200000000004,2579.5800000000004
46.86,48.36,46.4,48.2,91573300,0.0,0,QQQ,2011-08-26,54.0,2768.0200000000004,2530.44
48.68,49.59,48.66,49.54,45985800,0.0,0,QQQ,2011-08-29,56.0,2865.3800000000006,2726.08
49.36,50.17,49.09,49.87,61617900,0.0,0,QQQ,2011-08-30,56.0,2865.3800000000006,2764.16
50.17,50.57,49.53,49.95,60900400,0.0,0,QQQ,2011-08-31,56.0,2865.3800000000006,2809.52
50.08,50.47,49.4,49.49,57158400,0.0,0,QQQ,2011-09-01,56.0,2865.3800000000006,2804.48
48.61,49.54,48.07,48.33,58185700,0.0,0,QQQ,2011-09-02,56.0,2865.3800000000006,2722.16
47.21,48.42,47.09,48.34,52992200,0.0,0,QQQ,2011-09-06,56.0,2865.3800000000006,2643.76
49.03,49.58,48.9,49.57,48952200,0.0,0,QQQ,2011-09-07,56.0,2865.3800000000006,2745.6800000000003
49.31,50.05,49.18,49.34,61422800,0.0,0,QQQ,2011-09-08,56.0,2865.3800000000006,2761.36
49.0,49.2,47.94,48.24,63663500,0.0,0,QQQ,2011-09-09,56.0,2865.3800000000006,2744.0
47.71,48.9,47.69,48.86,65973000,0.0,0,QQQ,2011-09-12,58.0,2960.8000000000006,2767.18
